,description,category,amount,time,source,title,amount_without_iof,account,id,tokenized,href,details.status,details.subcategory,_links.self.href,details.tags,details.charges.count,details.charges.amount,details.lat,details.lon,details.fx.currency_origin,details.fx.amount_origin,details.fx.amount_usd,details.fx.precise_amount_origin,details.fx.precise_amount_usd,details.fx.exchange_rate
0,Ifood *Ifood,transaction,2487,2022-01-16T15:36:41Z,upfront_national,supermercado,2487.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61e43b89-1d3c-47a6-ab08-e4d43b4dec98,False,nuapp://transaction/61e43b89-1d3c-47a6-ab08-e4d43b4dec98,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61e43b89-1d3c-47a6-ab08-e4d43b4dec98,,,,,,,,,,,
1,Netflix.Com,transaction,3990,2022-01-16T13:08:49Z,upfront_national,serviços,3990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61e418e2-67c5-4c05-9b27-7fc8cb7d60ee,True,nuapp://transaction/61e418e2-67c5-4c05-9b27-7fc8cb7d60ee,unsettled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61e418e2-67c5-4c05-9b27-7fc8cb7d60ee,,,,,,,,,,,
2,Rappi*Rappi Brasil Int,transaction,6192,2022-01-12T15:13:48Z,upfront_national,transporte,6192.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61def02d-b283-4ca6-bc77-49740a612a19,True,nuapp://transaction/61def02d-b283-4ca6-bc77-49740a612a19,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61def02d-b283-4ca6-bc77-49740a612a19,,,,,,,,,,,
3,Amazonprimebr,transaction,990,2022-01-10T00:18:43Z,upfront_national,educação,990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db7b64-030e-483a-bd07-274c331c35fc,False,nuapp://transaction/61db7b64-030e-483a-bd07-274c331c35fc,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db7b64-030e-483a-bd07-274c331c35fc,,,,,,,,,,,
4,Bg Norte Alimentos,transaction,5200,2022-01-09T22:51:46Z,upfront_national,restaurante,5200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db6707-14ba-4d5e-b9bb-c75f0b64d402,False,nuapp://transaction/61db6707-14ba-4d5e-b9bb-c75f0b64d402,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db6707-14ba-4d5e-b9bb-c75f0b64d402,['ilhabela'],,,,,,,,,,
5,Padaria Elite,transaction,1700,2022-01-09T18:39:55Z,upfront_national,restaurante,1700.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db2bfb-78b1-4013-a950-6725a8363eeb,False,nuapp://transaction/61db2bfb-78b1-4013-a950-6725a8363eeb,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db2bfb-78b1-4013-a950-6725a8363eeb,['ilhabela'],,,,,,,,,,
6,Agape,transaction,3106,2022-01-09T16:50:53Z,upfront_national,restaurante,3106.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db126d-c92f-4be9-9ff4-87ab0ca29158,False,nuapp://transaction/61db126d-c92f-4be9-9ff4-87ab0ca29158,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db126d-c92f-4be9-9ff4-87ab0ca29158,['ilhabela'],,,,,,,,,,
7,Pag*Anaclaudiatacosta,transaction,1200,2022-01-09T14:10:41Z,upfront_national,supermercado,1200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61daece1-ffc6-45e5-aa08-907b1dee24b4,False,nuapp://transaction/61daece1-ffc6-45e5-aa08-907b1dee24b4,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61daece1-ffc6-45e5-aa08-907b1dee24b4,['ilhabela'],,,,,,,,,,
8,Amazon-Marketplace,transaction,21857,2022-01-08T21:44:58Z,upfront_national,eletrônicos,21857.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61da05db-bd44-4163-9b6b-ce6bb2bfa344,False,nuapp://transaction/61da05db-bd44-4163-9b6b-ce6bb2bfa344,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61da05db-bd44-4163-9b6b-ce6bb2bfa344,,,,,,,,,,,
9,Barba Frutos do Mar,transaction,11990,2022-01-08T18:51:37Z,upfront_national,restaurante,11990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d9dd39-2386-4eee-b0eb-b69c9ce12a31,False,nuapp://transaction/61d9dd39-2386-4eee-b0eb-b69c9ce12a31,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d9dd39-2386-4eee-b0eb-b69c9ce12a31,['ilhabela'],,,,,,,,,,
10,Pag*Liliaaparecidaalv,transaction,1400,2022-01-08T18:34:41Z,upfront_national,eletrônicos,1400.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d9d941-9605-4bf0-924c-ed5f86b113c5,False,nuapp://transaction/61d9d941-9605-4bf0-924c-ed5f86b113c5,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d9d941-9605-4bf0-924c-ed5f86b113c5,['ilhabela'],,,,,,,,,,
11,Checkup Car - Loja,transaction,111430,2022-01-08T14:31:36Z,installments_merchant,transporte,111430.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d9a049-1638-4bdd-9995-2516841c3366,False,nuapp://transaction/61d9a049-1638-4bdd-9995-2516841c3366,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d9a049-1638-4bdd-9995-2516841c3366,['🚗'],4.0,27857.0,,,,,,,,
12,Ice By Nice,transaction,3600,2022-01-07T22:36:51Z,upfront_national,restaurante,3600.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d8c084-982b-4dd5-a3f0-60265ab90d72,False,nuapp://transaction/61d8c084-982b-4dd5-a3f0-60265ab90d72,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d8c084-982b-4dd5-a3f0-60265ab90d72,['ilhabela'],,,,,,,,,,
13,Atrevida Modas,transaction,2499,2022-01-07T20:10:55Z,upfront_national,vestuário,2499.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d89e4f-3198-491d-871f-2629376d3a4f,False,nuapp://transaction/61d89e4f-3198-491d-871f-2629376d3a4f,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d89e4f-3198-491d-871f-2629376d3a4f,['ilhabela'],,,,,,,,,,
